GOOG (Google  Inc.),1508.69006,7.2499
Feb 11 2020 @ 08:31 ET,Bid,1515,Ask,1515.98,Size,2x1,Vol,1419876
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,GOOG200214C01145000,0,0,358.5,367.7,0,0.02,1,0.0001,0,1145.000,GOOG200214P01145000,0,0,0,0.6,0,1.044,-0.0051,0.0001,0
02/14/2020,GOOG200214C01150000,0,0,353.5,362.7,0,0.02,1,0.0001,0,1150.000,GOOG200214P01150000,0,0,0,0.6,0,1.04,-0.0055,0.0001,0
02/14/2020,GOOG200214C01155000,0,0,348.5,357.7,0,0.02,1,0.0001,0,1155.000,GOOG200214P01155000,0.48,0,0,0.6,0,1.0242,-0.0056,0.0001,123
02/14/2020,GOOG200214C01160000,206.9,0,343.5,352.7,0,0.02,1,0.0001,19,1160.000,GOOG200214P01160000,2.5,0,0,0.6,0,0.999,-0.0053,0.0001,10
02/14/2020,GOOG200214C01165000,0,0,338.5,347.7,0,0.02,1,0,0,1165.000,GOOG200214P01165000,0,0,0,0.6,0,0.9952,-0.0058,0.0001,0
02/14/2020,GOOG200214C01170000,0,0,333.5,342.3,0,0.02,1,0.0001,0,1170.000,GOOG200214P01170000,0,0,0,0.6,0,0.9804,-0.0058,0.0001,0
02/14/2020,GOOG200214C01175000,0,0,328.5,337.7,0,0.02,1,0,0,1175.000,GOOG200214P01175000,0,0,0,0.65,0,0.9747,-0.0063,0.0001,0
02/14/2020,GOOG200214C01180000,0,0,323.5,332.3,0,0.02,1,0.0001,0,1180.000,GOOG200214P01180000,0,0,0,0.65,0,0.9594,-0.0064,0.0001,0
02/14/2020,GOOG200214C01185000,0,0,318,326.2,0,0.02,1,0.0001,0,1185.000,GOOG200214P01185000,0,0,0,0.65,0,0.9451,-0.0065,0.0001,0
02/14/2020,GOOG200214C01190000,0,0,313,321.2,0,0.02,1,0.0001,0,1190.000,GOOG200214P01190000,0.15,0,0,0.65,0,0.9303,-0.0066,0.0001,2
02/14/2020,GOOG200214C01195000,286.3,0,308,316.2,0,0.02,1,0.0001,1,1195.000,GOOG200214P01195000,0.55,0,0,0.65,0,0.877,-0.005,0.0001,4
02/14/2020,GOOG200214C01200000,291.6,12.85,304.1,314,10,0.02,1,0.0001,12,1200.000,GOOG200214P01200000,0.15,0,0,0.65,0,0.901,-0.0068,0.0001,19
02/14/2020,GOOG200214C01205000,0,0,298,306.2,0,0.02,1,0.0001,0,1205.000,GOOG200214P01205000,0.85,0,0,0.3,0,0.8133,-0.0037,0.0001,1
02/14/2020,GOOG200214C01210000,0,0,293,301.2,0,0.02,1,0.0001,0,1210.000,GOOG200214P01210000,0.65,0,0,0.65,0,0.863,-0.0066,0.0001,29
02/14/2020,GOOG200214C01215000,0,0,288,296.2,0,0.02,1,0.0001,0,1215.000,GOOG200214P01215000,2.05,0,0,0.65,0,0.8568,-0.0071,0.0001,26
02/14/2020,GOOG200214C01220000,258.65,0,283.5,292.7,0,0.02,1,0.0002,2,1220.000,GOOG200214P01220000,0.67,0,0,0.65,0,0.8423,-0.0072,0.0002,4
02/14/2020,GOOG200214C01225000,0,0,278.5,287.7,0,0.02,1,0.0002,0,1225.000,GOOG200214P01225000,0.68,0,0,0.5,0,0.8024,-0.006,0.0001,3
02/14/2020,GOOG200214C01230000,0,0,273,281.2,0,0.02,1,0.0002,0,1230.000,GOOG200214P01230000,0.05,0,0,0.65,0,0.806,-0.007,0.0002,3
02/14/2020,GOOG200214C01235000,0,0,269,278,0,0.02,1,0,0,1235.000,GOOG200214P01235000,2.81,0,0,0.65,0,0.7913,-0.0071,0.0002,6
02/14/2020,GOOG200214C01240000,0,0,263.5,272.7,0,0.02,1,0.0001,0,1240.000,GOOG200214P01240000,0,0,0,0.65,0,0.7851,-0.0077,0.0002,0
02/14/2020,GOOG200214C01245000,0,0,258.5,267.7,0,0.02,1,0.0001,0,1245.000,GOOG200214P01245000,0.3,0,0,0.65,0,0.7703,-0.0079,0.0002,21
02/14/2020,GOOG200214C01250000,0,0,254,263,0,0.02,1,0.0001,0,1250.000,GOOG200214P01250000,0.4,0,0,0.65,0,0.7565,-0.008,0.0002,15
02/14/2020,GOOG200214C01255000,0,0,248.5,257.7,0,0.02,1,0.0002,0,1255.000,GOOG200214P01255000,3,0,0,0.65,0,0.7423,-0.0081,0.0002,4
02/14/2020,GOOG200214C01260000,218.65,0,243.5,252.2,0,0.02,1,0.0002,1,1260.000,GOOG200214P01260000,0.45,0,0,0.65,0,0.7209,-0.0078,0.0002,52
02/14/2020,GOOG200214C01265000,213.54,0,238.5,247.8,0,0.02,1,0.0003,1,1265.000,GOOG200214P01265000,0.5,0,0,0.65,0,0.7068,-0.0079,0.0002,3
02/14/2020,GOOG200214C01270000,0,0,233.5,242.8,0,0.02,1,0.0003,0,1270.000,GOOG200214P01270000,0.54,0,0,0.65,0,0.6997,-0.0086,0.0002,12
02/14/2020,GOOG200214C01275000,0,0,228.5,237.8,0,0.02,1,0.0003,0,1275.000,GOOG200214P01275000,2.05,0,0,0.65,0,0.6851,-0.0088,0.0002,33
02/14/2020,GOOG200214C01280000,0,0,223.5,231.9,0,0.02,1,0,0,1280.000,GOOG200214P01280000,2,0,0,0.65,0,0.6648,-0.0084,0.0002,15
02/14/2020,GOOG200214C01285000,0,0,218.5,227.7,0,0.02,1,0.0003,0,1285.000,GOOG200214P01285000,0.55,0,0,0.65,0,0.6574,-0.0091,0.0002,26
02/14/2020,GOOG200214C01290000,0,0,213.5,222.7,0,0.02,1,0,0,1290.000,GOOG200214P01290000,0.25,0,0,0.65,0,0.6434,-0.0093,0.0002,53
02/14/2020,GOOG200214C01295000,0,0,208.5,217.7,0,0.02,1,0.0002,0,1295.000,GOOG200214P01295000,0.8,0,0,0.65,0,0.6294,-0.0095,0.0003,15
02/14/2020,GOOG200214C01300000,199.64,20.94,204.5,214.2,42,0.02,0.9926,0.0002,26,1300.000,GOOG200214P01300000,0.05,0,0,0.05,0,0.4699,-0.0012,0.0001,229
02/14/2020,GOOG200214C01302500,0,0,201,210.2,0,0.02,1,0.0001,0,1302.500,GOOG200214P01302500,2.92,0,0,0.65,0,0.6084,-0.0098,0.0003,120
02/14/2020,GOOG200214C01305000,0,0,198.5,207.5,0,0.02,1,0,0,1305.000,GOOG200214P01305000,0.48,0.155,0,0.65,1,0.6014,-0.0099,0.0003,38
02/14/2020,GOOG200214C01307500,0,0,196,204.7,0,0.02,1,0.0001,0,1307.500,GOOG200214P01307500,0.3,0,0,0.65,0,0.5945,-0.01,0.0003,9
02/14/2020,GOOG200214C01310000,0,0,193.5,202.2,0,0.02,1,0,0,1310.000,GOOG200214P01310000,0.58,0,0,0.65,0,0.587,-0.0101,0.0003,51
02/14/2020,GOOG200214C01312500,0,0,191,199.4,0,0.02,1,0.0002,0,1312.500,GOOG200214P01312500,7.5,0,0,0.65,0,0.5805,-0.0102,0.0003,16
02/14/2020,GOOG200214C01315000,164.3,0,188.5,197.5,0,0.02,1,0,2,1315.000,GOOG200214P01315000,0.62,0,0,0.65,0,0.5736,-0.0103,0.0003,30
