MSFT (Microsoft Corporation),188.74,2.5498
Feb 11 2020 @ 08:31 ET,Bid,191.23,Ask,191.25,Size,18x19,Vol,35844267
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,MSFT200214C00167500,21.2,4.525,21.1,21.95,122,0.02,0.9525,0.0072,4759,167.500,MSFT200214P00167500,0.04,-0.065,0.02,0.05,973,0.4868,-0.0091,0.0025,2270
02/14/2020,MSFT200214C00170000,18.3,4.1,18.6,19.05,725,0.02,0.9792,0.0051,2227,170.000,MSFT200214P00170000,0.05,-0.1,0.04,0.05,2020,0.4582,-0.014,0.0039,3655
02/14/2020,MSFT200214C00172500,16.31,4.56,16.1,16.45,131,0.02,0.9891,0.0038,2703,172.500,MSFT200214P00172500,0.06,-0.155,0.05,0.07,2385,0.413,-0.018,0.0054,5086
02/14/2020,MSFT200214C00175000,13.9,4.475,13.65,14.5,763,0.02,0.9277,0.0138,2593,175.000,MSFT200214P00175000,0.08,-0.26,0.08,0.09,3721,0.3832,-0.0288,0.0087,5190
02/14/2020,MSFT200214C00177500,11.4,4.25,11.2,11.75,1386,0.02,0.9344,0.0164,3193,177.500,MSFT200214P00177500,0.14,-0.44,0.13,0.15,5467,0.3566,-0.0486,0.0143,5798
02/14/2020,MSFT200214C00180000,9,3.925,8.8,9.5,3774,0.02,0.8899,0.0253,6803,180.000,MSFT200214P00180000,0.25,-0.78,0.24,0.25,7618,0.3372,-0.0873,0.0237,8197
02/14/2020,MSFT200214C00182500,6.72,3.345,6.6,6.85,7087,0.02,1,0.0374,3649,182.500,MSFT200214P00182500,0.5,-1.325,0.49,0.5,7708,0.33,-0.1615,0.0374,5678
02/14/2020,MSFT200214C00185000,4.7,2.615,4.7,4.85,18103,0.2231,0.8071,0.0619,8821,185.000,MSFT200214P00185000,0.99,-2.06,0.95,0.99,12312,0.3303,-0.2757,0.051,6238
02/14/2020,MSFT200214C00187500,3.15,1.89,3.05,3.15,20483,0.2632,0.6002,0.074,8214,187.500,MSFT200214P00187500,1.86,-2.84,1.8,1.88,5628,0.3442,-0.42,0.0573,2646
02/14/2020,MSFT200214C00190000,1.9,1.13,1.9,2,48014,0.286,0.4189,0.0689,15356,190.000,MSFT200214P00190000,3.2,-3.525,3.15,3.25,2525,0.3694,-0.5598,0.0538,934
02/14/2020,MSFT200214C00192500,1.2,0.715,1.2,1.23,11373,0.3114,0.2794,0.0544,5124,192.500,MSFT200214P00192500,5,-3.95,4.85,5.1,344,0.4013,-0.6719,0.0454,344
02/14/2020,MSFT200214C00195000,0.76,0.415,0.74,0.79,9437,0.3385,0.1846,0.0397,4261,195.000,MSFT200214P00195000,7.1,-4.25,6.9,7.05,237,0.4429,-0.7506,0.0361,169
02/14/2020,MSFT200214C00197500,0.5,0.245,0.44,0.51,2798,0.3668,0.1238,0.0281,2015,197.500,MSFT200214P00197500,11.2,-2.5,8.7,9.75,1,0.4836,-0.8068,0.0286,12
02/14/2020,MSFT200214C00200000,0.34,0.135,0.32,0.35,6718,0.3953,0.0849,0.0198,4328,200.000,MSFT200214P00200000,11.55,-4.6,11.35,11.65,91,0.549,-0.8351,0.0228,77
02/14/2020,MSFT200214C00202500,0.25,0.09,0.24,0.25,1039,0.429,0.0621,0.0144,1049,202.500,MSFT200214P00202500,16.15,-2.475,13.8,14.1,47,0.6128,-0.8553,0.0187,61
02/14/2020,MSFT200214C00205000,0.18,0.045,0.16,0.19,3188,0.4572,0.0451,0.0105,3132,205.000,MSFT200214P00205000,17.22,-3.88,16.25,16.55,90,0.6657,-0.874,0.0157,146
02/14/2020,MSFT200214C00210000,0.1,0.015,0.1,0.11,581,0.5058,0.0238,0.0056,2697,210.000,MSFT200214P00210000,27.15,0,20.75,22.05,0,0.8042,-0.8887,0.0119,20
02/14/2020,MSFT200214C00215000,0.06,-0.005,0.04,0.06,1966,0.5571,0.0141,0.0032,5259,215.000,MSFT200214P00215000,26.55,-4.525,26.1,26.45,18,0.8985,-0.9085,0.0092,35
02/14/2020,MSFT200214C00220000,0.03,0.03,0.01,0.03,621,0.5841,0.0069,0.0017,573,220.000,MSFT200214P00220000,31.55,31.55,31,32.05,4,1.0052,-0.9188,0.0075,3
02/14/2020,MSFT200214C00225000,0.02,0.02,0.01,0.02,1561,0.6252,0.0041,0.001,1373,225.000,MSFT200214P00225000,0,0,36,37.05,0,1.1144,-0.9252,0.0064,0
02/21/2020,MSFT200221C00075000,111.65,2.65,113.55,114,4,0.02,0.9415,0.0008,47,75.000,MSFT200221P00075000,0,0,0,0.02,0,1.78,-0.0009,0.0001,0
02/21/2020,MSFT200221C00080000,90.25,0,108.55,108.9,0,0.02,0.9978,0.0009,200,80.000,MSFT200221P00080000,0.01,0,0,0.03,0,1.6666,-0.001,0.0001,75
02/21/2020,MSFT200221C00085000,99.85,0,103.55,104,0,0.02,0.9428,0.001,10,85.000,MSFT200221P00085000,0.01,0,0,0.03,0,1.501,-0.0007,0.0001,902
02/21/2020,MSFT200221C00090000,81.2,0,98.55,98.9,0,0.02,0.9978,0.001,24,90.000,MSFT200221P00090000,0.01,0,0,0.02,0,1.376,-0.0007,0.0001,900
02/21/2020,MSFT200221C00095000,85.2,0,93.55,94,0,0.02,0.945,0.0011,13,95.000,MSFT200221P00095000,0.01,0,0,0.01,0,1.251,-0.0006,0,4089
02/21/2020,MSFT200221C00100000,88.02,3.995,88.55,88.9,20,0.02,0.9978,0.0012,67,100.000,MSFT200221P00100000,0.01,0,0,0.01,0,1.126,-0.0004,0,2312
02/21/2020,MSFT200221C00105000,60.59,0,83.55,83.9,0,0.02,0.9978,0.0013,14,105.000,MSFT200221P00105000,0.01,0,0,0.01,0,1.0635,-0.0006,0.0001,1832
02/21/2020,MSFT200221C00110000,72.95,0,78.55,78.9,0,0.02,0.9978,0.0015,176,110.000,MSFT200221P00110000,0.01,0,0,0.01,0,0.9899,-0.0007,0.0001,4371
02/21/2020,MSFT200221C00115000,56.1,0,72.9,74.35,0,0.02,1,0.0016,225,115.000,MSFT200221P00115000,0.01,0.005,0,0.01,35,0.9249,-0.0008,0.0001,956
02/21/2020,MSFT200221C00120000,48.34,0,68.55,68.95,0,0.02,0.9521,0.0017,154,120.000,MSFT200221P00120000,0.02,0,0,0.03,0,0.906,-0.0016,0.0002,918
