"Date" "yyyymmdd" "AAPL" "MSFT" "GOOG" "CSCO" "ORCL" "INTC" "QCOM" "AMGN" "TEVA" "GILD"
2018-03-07 20180307 170.177322 91.345573 1109.640015 41.722076 50.020302 48.932156 58.466763 176.881119 19.07 74.659904
2018-03-08 20180308 172.034363 91.900299 1126 41.854225 50.416836 48.379143 57.839897 176.532135 19.120001 74.734558
2018-03-09 20180309 174.990051 93.953796 1160.040039 42.826485 51.229225 49.761673 58.971989 180.248413 19.18 75.341248
2018-03-12 20180312 176.681824 94.177605 1164.5 42.996395 51.161526 49.122852 58.766159 178.550613 19.5 75.658592
2018-03-13 20180313 174.980347 91.880836 1138.170044 42.628254 50.852039 49.37075 55.856388 178.975052 19.32 76.274612
2018-03-14 20180314 173.492752 91.335838 1149.48999 42.741531 50.600586 49.447033 56.249348 179.748505 18.57 75.695923
2018-03-15 20180315 173.69693 91.656998 1149.579956 42.788731 50.648941 48.512634 56.034153 178.975052 18.049999 74.737152
2018-03-16 20180316 173.084427 92.06575 1135.72998 42.486668 50.552231 48.789135 56.717155 177.550812 18.370001 74.953346
2018-03-19 20180319 170.439835 90.401558 1099.819946 41.788151 50.242744 48.464962 54.612015 172.183929 17.91 72.547028
2018-03-20 20180320 170.3815 90.635124 1097.709961 41.882545 45.503777 49.151455 54.509098 171.693451 17.68 72.302628
2018-03-21 20180321 166.521561 90.002548 1090.880005 41.825905 45.474766 49.160992 53.152451 171.278427 17.6 71.898453
2018-03-22 20180322 164.168655 87.384605 1049.079956 40.655426 44.381893 48.464962 52.00164 166.081299 17.309999 71.033669
2018-03-23 20180323 160.367035 84.844528 1021.570007 40.041866 43.318043 47.063354 50.205261 159.808929 16.91 68.467545
2018-03-26 20180326 167.979996 91.267723 1053.209961 41.589924 44.952507 50.038185 52.516235 165.241837 16.870001 71.005463
2018-03-27 20180327 163.672775 87.073189 1005.099976 40.287281 43.888657 48.808201 51.309288 161.431259 16.68 69.661316
2018-03-28 20180328 161.864365 86.995323 1004.559998 39.324471 43.501801 47.292183 51.178299 160.780457 17.040001 70.291084
2018-03-29 20180329 163.128311 88.824951 1031.790039 40.485512 44.246502 49.656803 51.84259 160.799286 17.09 70.864471
2018-04-02 20180402 162.058807 86.148628 1006.469971 38.710911 43.530819 46.643822 50.3456 156.620865 16.77 68.749535
2018-04-03 20180403 163.72142 87.306747 1013.409973 39.060173 43.414761 47.435207 51.253147 158.667648 16.950001 69.322914
2018-04-04 20180404 166.852142 89.85656 1025.140015 39.202896 44.014381 47.664043 51.449631 163.666687 17.24 70.873878
2018-04-05 20180405 168.009125 89.905212 1027.810059 39.792843 44.4496 48.0359 51.496407 162.232971 17.219999 70.32869
2018-04-06 20180406 163.7117 87.812813 1007.039978 38.75568 43.356735 46.519871 49.70002 158.592163 16.879999 69.003334
2018-04-09 20180409 165.335388 88.338348 1015.450012 39.174351 43.424431 47.244511 49.990063 159.988159 17.129999 69.369926
2018-04-10 20180410 168.446671 90.39183 1031.640015 40.449398 44.314198 48.884487 51.243793 163.298828 17.879999 70.516678
2018-04-11 20180411 167.659119 89.399147 1019.969971 40.373276 44.111095 48.722393 51.468334 162.619736 17.99 69.868111
2018-04-12 20180412 169.311996 91.073074 1032.51001 41.239162 44.372231 50.267017 51.646114 161.30864 18.18 70.770477
2018-04-13 20180413 169.885605 90.586479 1029.27002 40.915646 44.565647 49.447033 52.141983 161.742523 18.049999 70.704674
2018-04-16 20180416 170.945419 91.64727 1037.97998 41.201103 44.721031 49.961906 51.243793 161.648224 18.059999 70.20649
2018-04-17 20180417 173.298309 93.496376 1074.160034 42.428574 45.313435 51.048859 51.786446 164.949432 17.84 70.939674
2018-04-18 20180418 172.909393 93.856453 1072.079956 42.466633 45.721313 51.115604 51.674175 165.166382 17.92 71.13707
2018-04-19 20180419 168.009125 93.535294 1087.699951 42.400036 45.468811 49.790283 49.185429 163.110168 17.709999 69.971504
